,AHU1 Lighting,AHU2 Lighting,AHU3 Lighting,AHU4 Lighting,AHU1 Plugs,AHU2 Plugs,AHU3 Plugs,AHU4 Plugs,Trans Fan,Ext Lights
MAX,0.23,1.017,0.37,0.074,0.294,1.838,0.384,0.814,0.418,3.646
1/1/2015 0:00,0,0.012782694,0,0.878378378,0.37755102,0.219804135,0.411458333,0.837837838,0,0.803620406
1/1/2015 1:00,0,0.013765978,0,0.878378378,0.37755102,0.243199129,0.411458333,0.839066339,0,0.786066923
1/1/2015 2:00,0,0.013765978,0,0.878378378,0.37414966,0.238302503,0.411458333,0.84029484,0,0.76083379
1/1/2015 3:00,0,0.012782694,0,0.878378378,0.37414966,0.260609358,0.408854167,0.839066339,0,0.736972024
1/1/2015 4:00,0,0.009832842,0,0.878378378,0.37414966,0.245375408,0.4140625,0.839066339,0,0.735600658
1/1/2015 5:00,0,0.008849558,0,0.878378378,0.380952381,0.253536453,0.4140625,0.837837838,0,0.787986835
1/1/2015 6:00,0,0.008849558,0,0.878378378,0.37414966,0.255168662,0.40625,0.839066339,0,0.839001646
1/1/2015 7:00,0.669565217,0.240904621,0.535135135,0.878378378,0.37414966,0.539717084,0.408854167,0.845208845,0,0.885079539
1/1/2015 8:00,0.273913043,0.228121927,0.216216216,0.256756757,0.074829932,0.134385201,0.171875,0.212530713,0,0.173066374
1/1/2015 9:00,0.886956522,0.974434612,0.845945946,0.878378378,0.387755102,0.705114255,0.559895833,0.855036855,0,0.104772353
1/1/2015 10:00,0.891304348,0.947885939,0.797297297,0.878378378,0.43877551,0.628944505,0.598958333,0.886977887,0,0.016730664
1/1/2015 11:00,0.873913043,0.91740413,0.672972973,0.878378378,0.418367347,0.592491839,0.559895833,0.807125307,0,0.016730664
1/1/2015 12:00,0.873913043,0.914454277,0.816216216,0.878378378,0.418367347,0.600108814,0.640625,0.866093366,0,0.01727921
1/1/2015 13:00,0.87826087,0.967551622,0.745945946,0.878378378,0.37414966,0.692600653,0.643229167,0.86977887,0,0.01727921
1/1/2015 14:00,0.9,1,0.727027027,0.878378378,0.380952381,0.630032644,0.630208333,0.861179361,0,0.017553483
1/1/2015 15:00,0.930434783,0.945919371,0.764864865,0.878378378,0.394557823,0.596300326,0.604166667,0.856265356,0,0.017553483
1/1/2015 16:00,0.965217391,0.888888889,0.908108108,0.878378378,0.43537415,0.584330794,0.653645833,0.848894349,0,0.01727921
1/1/2015 17:00,0.965217391,0.887905605,0.959459459,0.878378378,0.459183673,0.551142546,0.6484375,0.851351351,0,0.256171146
1/1/2015 18:00,0.969565217,0.953785644,0.943243243,0.878378378,0.476190476,0.573449402,0.598958333,0.85012285,0,0.936642896
1/1/2015 19:00,0.595652174,0.192723697,0.356756757,0.878378378,0.295918367,0.217627856,0.497395833,0.843980344,0,0.91881514
1/1/2015 20:00,0.643478261,0.559488692,0.532432432,0.878378378,0.333333333,0.237214363,0.473958333,0.845208845,0,0.928414701
1/1/2015 21:00,0,0.015732547,0,0.878378378,0.299319728,0.213275299,0.380208333,0.837837838,0,0.909215579
1/1/2015 22:00,0,0.014749263,0,0.878378378,0.299319728,0.209466812,0.375,0.837837838,0,0.836258914
1/1/2015 23:00,0,0.014749263,0,0.878378378,0.295918367,0.223612622,0.375,0.837837838,0,0.849972573
1/2/2015 0:00,0,0.014749263,0,0.878378378,0.299319728,0.198585419,0.375,0.836609337,0,0.79621503
1/2/2015 1:00,0,0.014749263,0,0.878378378,0.299319728,0.240478781,0.377604167,0.837837838,0,0.769061986
1/2/2015 2:00,0,0.012782694,0,0.878378378,0.295918367,0.258977149,0.375,0.839066339,0,0.796489303
1/2/2015 3:00,0,0.013765978,0,0.878378378,0.295918367,0.233405876,0.375,0.836609337,0,0.773450357
1/2/2015 4:00,0,0.013765978,0,0.878378378,0.295918367,0.254624592,0.375,0.839066339,0,0.812122874
1/2/2015 5:00,0,0.018682399,0,0.878378378,0.295918367,0.254624592,0.377604167,0.837837838,0,0.823368075
1/2/2015 6:00,0.060869565,0.013765978,0,0.878378378,0.295918367,0.238302503,0.375,0.839066339,0,0.839824465
