Date/Time,Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),AHU1 LIGHTS:Lights Electric Power [W](Hourly),AHU2 LIGHTS:Lights Electric Power [W](Hourly),AHU3 LIGHTS:Lights Electric Power [W](Hourly),AHU4 LIGHTS:Lights Electric Power [W](Hourly),AHU1:Zone Thermostat Air Temperature [C](Hourly),AHU1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU2:Zone Thermostat Air Temperature [C](Hourly),AHU2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU3:Zone Thermostat Air Temperature [C](Hourly),AHU3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU1 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU2 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU3 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU4 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRFCOOLCAPFT:Performance Curve Output Value [](Hourly) 
 01/29  04:00:00,0,5,0,9,0,65,22.57747555,25.56,22.16760253,25.56,20.64104724,25.56,25.56,0,0,0,0,0,0,0.540277778
 01/29  05:00:00,0,5,0,10,0,65,22.52129153,25.56,22.15095283,25.56,20.59674591,25.56,25.56,0,0,0,0,0,0,0.540277778
 01/29  06:00:00,0,5,0,11,0,65,22.42009117,25.56,22.08300383,25.56,20.49928736,25.56,25.56,0,0,0,0,0,0,0.540277778
 01/29  07:00:00,0,5,0,14,0,65,22.35970927,25.56,22.03105504,25.56,20.43587097,25.56,25.56,0,0,0,0,0,0,0.540277778
 01/29  08:00:00,0,5,197,77,181,65,22.22034056,22.22,22.21652594,22.22,20.80567279,22.22,22.22,300.4374676,0,0,1313.860792,2405.031266,0.15,0.556163312
 01/29  09:00:00,0,5,220,819,280,65,20.68479202,22.22,21.65897471,22.22,19.59544452,22.22,22.22,0,0,0,0,0,0,0.547715568
 01/29  10:00:00,0,5,219,838,289,65,21.13910139,22.22,22.40714122,22.22,20.08995513,22.22,22.22,0,0,0,0,0,0,0.563439869
 01/29  11:00:00,0,5,209,849,321,65,22.20027047,22.22,22.3479123,22.22,21.56371927,22.22,22.22,552.8087141,1160.259371,0,1025.411366,3506.344994,0.137015823,0.592424937
 01/29  12:00:00,0,5,186,857,309,65,22.221988,22.22,22.22142651,22.22,22.18952601,22.22,22.22,1770.520079,1952.769112,726.6500698,909.7103584,6763.996898,0.211991161,0.589032142
 01/29  13:00:00,0,5,223,822,288,65,22.22282556,22.22,22.22203132,22.22,22.22159331,22.22,22.22,2925.164053,2737.300953,1875.979764,845.14227,9799.651947,0.310609881,0.582640554
